Education,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Tenure,Age,Spent,Children,Family_Size,Is_Parent,Living_Alone,Living_Partner,Clusters,Total_Promos,Recent30,Recent90
3,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,4653,79,1315,0,1,0,True,False,1,2,1,1
2,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,4623,45,96,2,4,1,False,True,3,0,0,1
2,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,4738,79,317,0,2,0,False,True,2,0,1,1
3,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,4529,76,1782,1,3,1,False,True,0,1,0,0
1,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,4674,40,133,1,2,1,True,False,2,0,0,1
2,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,4761,43,316,0,2,0,False,True,2,0,0,1
2,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,4610,46,1730,1,3,1,False,True,1,0,0,1
3,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,4624,76,972,1,3,1,False,True,0,1,0,1
3,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,4240,71,544,1,3,1,False,True,0,0,1,1
2,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,4539,74,444,1,3,1,False,True,0,0,0,1
2,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,4614,56,75,0,1,0,True,False,2,0,0,1
2,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,4469,49,257,2,4,1,False,True,0,0,1,1
2,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,4465,36,131,1,3,1,False,True,3,0,1,1
3,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,4290,60,1672,0,2,0,False,True,1,1,0,0
3,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,4109,36,30,0,1,0,True,False,2,0,0,1
3,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,4485,62,318,0,2,0,False,True,2,0,0,1
2,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,4698,55,120,1,3,1,False,True,3,1,0,1
3,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,4679,73,302,2,3,1,True,False,0,0,1,1
3,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,4565,79,1196,0,2,0,False,True,1,0,1,1
3,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,4375,74,65,2,3,1,True,False,2,0,0,1
3,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,4251,55,913,1,3,1,False,True,0,0,0,1
1,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,4371,49,81,1,3,1,False,True,3,0,0,1
2,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,4209,52,67,1,2,1,True,False,2,0,0,0
3,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,4584,82,902,0,1,0,True,False,1,1,0,1
2,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,4497,45,1395,1,3,1,False,True,0,0,1,1
3,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,4545,40,53,1,3,1,False,True,3,0,0,1
2,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,4623,68,22,1,3,1,False,True,3,0,1,1
3,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,4341,50,31,1,3,1,False,True,3,0,1,1
2,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,4072,49,984,0,1,0,True,False,1,0,0,1
1,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,4668,29,122,0,2,0,False,True,3,0,1,1
2,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,4472,57,55,1,3,1,False,True,3,0,0,0
3,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,4669,71,1319,2,4,1,False,True,0,0,0,1
2,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,4119,68,507,1,2,1,True,False,0,0,1,1
3,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,4758,61,1693,0,2,0,False,True,1,0,1,1
2,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,4614,48,72,1,2,1,True,False,2,0,0,1
2,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,4093,48,1617,0,1,0,True,False,1,2,0,1
2,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,4453,47,606,2,4,1,False,True,0,0,0,1
3,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,4658,70,1957,0,2,0,False,True,1,1,0,1
2,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,4524,59,1093,0,1,0,True,False,1,0,1,1
2,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,4133,37,29,1,2,1,True,False,2,0,0,1
3,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,4189,57,518,1,3,1,False,True,0,0,0,1
3,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,4431,43,1438,0,1,0,True,False,1,2,1,1
2,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,4731,50,612,2,4,1,False,True,0,0,1,1
2,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,4567,73,884,1,2,1,True,False,0,0,1,1
3,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,4454,74,606,1,2,1,True,False,0,0,1,1
2,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,4276,77,1076,0,2,0,False,True,1,0,1,1
2,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,4475,54,34,1,3,1,False,True,3,0,0,1
2,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,4120,58,11,2,4,1,False,True,3,0,1,1
1,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,4173,46,1274,1,2,1,True,False,1,2,1,1
2,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,4346,67,653,1,3,1,False,True,0,0,1,1
2,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,4518,55,1562,3,5,1,False,True,0,0,0,1
3,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,4727,71,1253,0,2,0,False,True,1,0,1,1
2,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,4540,66,863,1,3,1,False,True,0,0,1,1
3,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,4521,50,661,2,4,1,False,True,0,1,0,1
2,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,4131,73,65,0,2,0,False,True,2,0,0,1
2,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,4628,48,13,1,2,1,True,False,2,0,0,1
3,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,4742,53,1890,0,2,0,False,True,1,0,0,1
2,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,4696,49,2209,0,1,0,True,False,1,1,0,1
1,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,4369,49,18,0,2,0,False,True,3,0,1,1
2,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,4614,60,692,0,2,0,False,True,2,1,1,1
2,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,4740,40,165,1,2,1,True,False,2,0,0,1
2,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,4442,56,16,1,3,1,False,True,3,0,1,1
1,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,4432,52,79,1,3,1,False,True,3,0,0,1
3,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,4485,62,318,0,2,0,False,True,2,0,0,1
2,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,4195,38,778,0,1,0,True,False,1,0,1,1
2,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,4393,65,56,2,4,1,False,True,3,0,0,0
3,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,4419,55,151,2,4,1,False,True,0,1,0,1
2,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,4103,68,372,1,2,1,True,False,0,2,1,1
2,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,4119,52,1366,0,2,0,False,True,1,1,0,1
2,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,4230,58,194,1,3,1,False,True,0,0,0,1
3,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,4169,53,32,1,2,1,True,False,2,0,0,1
3,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,4107,55,43,1,3,1,False,True,0,0,0,1
2,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,4109,42,45,1,3,1,False,True,3,0,1,1
2,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,4655,65,606,1,2,1,True,False,0,1,0,1
2,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,4515,53,63,2,3,1,True,False,2,0,0,1
1,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,4281,74,978,0,2,0,False,True,1,1,0,1
3,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,4445,42,410,0,2,0,False,True,2,0,0,1
1,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,4412,65,72,1,2,1,True,False,2,0,1,1
3,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,4162,66,55,1,2,1,True,False,2,0,0,1
2,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,4506,46,1169,1,3,1,False,True,0,0,0,1
3,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,4479,80,1120,0,2,0,False,True,1,0,0,1
2,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,4123,66,1097,0,2,0,False,True,1,0,0,1
0,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,4272,46,29,1,3,1,False,True,3,0,0,0
2,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,4349,61,187,2,4,1,False,True,3,0,1,1
2,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,4583,56,910,2,4,1,False,True,0,0,0,1
2,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,4628,47,145,1,2,1,True,False,2,0,1,1
3,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,4640,65,850,0,2,0,False,True,1,0,1,1
2,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,4310,46,969,1,3,1,False,True,0,0,0,1
3,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,4667,34,1820,0,1,0,True,False,0,1,0,1
3,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,4075,62,608,1,3,1,False,True,0,1,1,1
2,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,4614,34,730,0,1,0,True,False,1,2,0,0
3,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,4635,45,551,1,3,1,False,True,0,0,1,1
2,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,4363,63,114,2,3,1,True,False,2,0,1,1
2,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,4227,55,1724,0,2,0,False,True,1,2,1,1
1,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,4566,47,577,1,3,1,False,True,0,0,0,1
1,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,4424,58,81,2,4,1,False,True,3,0,0,1
2,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,4298,56,33,1,3,1,False,True,3,0,0,1
3,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,4445,72,660,1,3,1,False,True,0,0,0,1
3,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,4196,58,80,1,2,1,True,False,2,0,1,1
3,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,4369,40,30,2,4,1,False,True,3,0,0,1
2,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,4504,49,43,1,2,1,True,False,2,0,0,1
2,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,4545,42,1135,0,1,0,True,False,1,3,0,1
1,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,4567,60,559,0,2,0,False,True,1,0,0,1
2,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,4505,41,1923,0,1,0,True,False,1,0,0,1
3,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,4092,72,90,2,4,1,False,True,3,0,0,1
3,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,4121,69,661,2,4,1,False,True,0,0,0,1
2,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,4343,73,463,1,3,1,False,True,0,0,1,1
3,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,4547,67,632,2,3,1,True,False,0,0,0,1
2,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,4210,56,725,0,2,0,False,True,1,0,1,1
3,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,4390,61,279,2,4,1,False,True,0,0,0,1
3,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,4540,58,1482,0,2,0,False,True,1,1,1,1
0,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,4761,49,29,1,2,1,True,False,2,0,0,1
3,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,4428,66,106,3,5,1,False,True,3,0,0,1
3,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,4112,52,49,2,3,1,True,False,2,1,0,1
3,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,4407,60,38,2,3,1,True,False,2,0,0,1
3,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,4689,33,2077,0,1,0,True,False,1,0,0,1
3,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,4298,49,1053,1,3,1,False,True,0,0,1,1
2,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,4507,63,1385,0,2,0,False,True,1,0,0,1
3,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,4376,51,871,1,2,1,True,False,0,0,0,1
2,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,4538,37,312,1,3,1,False,True,3,0,1,1
2,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,4690,49,877,2,4,1,False,True,0,0,0,1
2,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,4680,50,68,1,3,1,False,True,3,0,0,1
2,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,4376,44,22,1,3,1,False,True,3,0,0,1
1,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,4747,52,211,3,5,1,False,True,0,0,0,0
3,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,4079,59,127,0,2,0,False,True,2,0,0,1
3,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,4137,72,459,2,4,1,False,True,0,0,0,1
2,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,4185,56,460,1,3,1,False,True,0,1,0,0
1,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,4633,53,429,1,3,1,False,True,0,0,1,1
2,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,4119,37,89,1,2,1,True,False,2,0,1,1
3,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,4699,73,1021,1,3,1,False,True,0,0,0,1
2,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,4566,76,1381,0,2,0,False,True,0,2,1,1
2,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,4427,67,306,1,2,1,True,False,0,0,1,1
2,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,4361,47,18,3,4,1,True,False,2,0,0,1
2,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,4326,48,162,1,3,1,False,True,3,0,1,1
2,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,4384,70,1231,0,1,0,True,False,1,0,0,1
3,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,4434,67,13,3,4,1,True,False,2,0,1,1
3,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,4672,80,1706,0,2,0,False,True,0,0,1,1
2,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,4246,41,121,1,3,1,False,True,3,0,0,0
3,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,4495,50,1293,0,1,0,True,False,1,0,1,1
3,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,4191,52,1608,1,3,1,False,True,1,0,0,0
2,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,4299,59,88,3,5,1,False,True,3,0,0,1
2,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,4294,72,421,0,1,0,True,False,2,1,1,1
2,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,4376,66,259,0,1,0,True,False,2,1,0,1
2,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,4310,37,1117,0,1,0,True,False,1,0,0,1
2,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,4195,68,89,2,4,1,False,True,3,0,0,1
2,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,4140,60,36,2,4,1,False,True,3,0,0,1
2,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,4422,43,57,1,3,1,False,True,3,0,0,1
2,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,4140,55,148,2,4,1,False,True,3,0,1,1
3,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,4221,66,93,2,4,1,False,True,3,0,1,1
2,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,4157,58,119,1,2,1,True,False,2,1,0,1
3,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,4726,50,1835,1,3,1,False,True,0,0,0,1
3,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,4631,77,1318,0,2,0,False,True,1,2,0,1
3,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,4108,55,45,2,4,1,False,True,3,0,0,1
2,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,4076,66,10,3,5,1,False,True,3,0,0,0
1,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,4281,74,978,0,2,0,False,True,1,1,0,1
3,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,4120,49,191,1,3,1,False,True,0,0,0,1
1,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,4121,37,57,1,3,1,False,True,3,0,0,1
3,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,4345,79,1033,0,2,0,False,True,1,0,1,1
3,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,4229,41,66,1,3,1,False,True,3,0,1,1
0,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,4085,64,43,0,2,0,False,True,3,0,0,1
2,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,4642,42,50,1,3,1,False,True,3,0,0,1
3,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,4184,55,39,1,2,1,True,False,2,0,0,1
2,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,4402,59,608,1,3,1,False,True,0,0,0,1
2,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,4538,49,1581,0,2,0,False,True,1,0,1,1
3,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,4562,61,68,2,4,1,False,True,3,0,1,1
0,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,4729,47,80,1,3,1,False,True,3,1,0,1
3,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,4479,36,1282,0,2,0,False,True,1,0,0,0
2,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,4466,37,91,1,3,1,False,True,3,0,0,0
2,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,4567,52,315,2,4,1,False,True,0,0,0,1
2,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,4253,48,31,2,4,1,False,True,3,0,1,1
3,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,4118,45,834,0,2,0,False,True,1,0,0,1
2,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,4354,71,1600,0,2,0,False,True,1,1,0,1
2,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,4599,71,1270,0,2,0,False,True,1,0,1,1
3,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,4161,52,263,2,3,1,True,False,0,1,0,1
2,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,4071,73,535,1,2,1,True,False,0,1,0,1
2,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,4273,57,1295,0,1,0,True,False,1,0,0,1
2,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,4329,47,1150,1,2,1,True,False,0,0,0,1
3,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,4675,48,1240,0,2,0,False,True,1,3,0,1
3,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,4418,60,38,2,3,1,True,False,2,0,0,1
